time_utc,mode,event,signal_side,position_side,position_size,position_entry_px,target_bid,target_ask,target_mid,target_bid_sz,target_ask_sz,target_book_time_ms,target_recv_time_ms,target_oracle,target_mark,reference_bid,reference_ask,reference_mid,reference_bid_sz,reference_ask_sz,reference_book_time_ms,reference_recv_time_ms,reference_oracle,reference_mark,gross_edge_bps,oracle_gap_bps,target_spread_bps,target_book_age_ms,reference_book_age_ms
2026-08-24T10:41:06.568Z,live,snapshot,,,,,88.597,88.633,88.6150000000,0.94,0.66,1787568060622,1787568061042,89.1343,88.6731,88.535,88.581,88.5580000000,2.86,0.42,1787568060622,1787568061296,88.976,88.644,,,,,
2026-08-24T10:41:07.799Z,live,snapshot,,,,,88.597,88.599,88.5980000000,0.6,1.18,1787568065999,1787568067069,89.1343,88.6731,88.535,88.536,88.5355000000,2.86,10.77,1787568065999,1787568067322,88.975,88.642,,,,,
2026-08-24T10:41:09.022Z,live,snapshot,,,,,88.597,88.599,88.5980000000,0.6,1.18,1787568065999,1787568067069,89.1343,88.6719,88.535,88.536,88.5355000000,2.86,10.77,1787568065999,1787568067322,88.975,88.642,,,,,
2026-08-24T10:41:11.498Z,live,snapshot,,,,,88.597,88.599,88.5980000000,0.6,1.18,1787568065999,1787568067069,89.1343,88.6719,88.535,88.536,88.5355000000,2.86,10.77,1787568065999,1787568067322,88.974,88.638,,,,,
2026-08-24T10:41:12.598Z,live,snapshot,,,,,88.597,88.599,88.5980000000,0.6,1.18,1787568065999,1787568067069,89.1332,88.6689,88.535,88.536,88.5355000000,2.86,10.77,1787568065999,1787568067322,88.974,88.638,,,,,
2026-08-24T10:41:13.635Z,live,snapshot,,,,,88.496,88.557,88.5265000000,0.68,0.66,1787568071538,1787568072598,89.1332,88.6689,88.409,88.466,88.4375000000,5.44,0.44,1787568071538,1787568072850,88.974,88.638,,,,,
2026-08-24T10:41:14.644Z,live,snapshot,,,,,88.496,88.557,88.5265000000,0.68,0.66,1787568071538,1787568072598,89.1332,88.6689,88.409,88.466,88.4375000000,5.44,0.44,1787568071538,1787568072850,88.973,88.633,,,,,
2026-08-24T10:41:15.815Z,live,snapshot,,,,,88.496,88.557,88.5265000000,0.68,0.66,1787568071538,1787568072598,89.1319,88.6647,88.409,88.466,88.4375000000,5.44,0.44,1787568071538,1787568072850,88.973,88.633,,,,,
2026-08-24T10:41:17.498Z,live,snapshot,,,,,88.496,88.557,88.5265000000,0.68,0.66,1787568071538,1787568072598,89.1319,88.6647,88.409,88.466,88.4375000000,5.44,0.44,1787568071538,1787568072850,88.973,88.628,,,,,
2026-08-24T10:41:18.652Z,live,snapshot,,,,,88.511,88.557,88.5340000000,0.33,1.64,1787568076919,1787568077977,89.1319,88.6647,88.411,88.472,88.4415000000,0.44,0.44,1787568076919,1787568078231,88.973,88.628,,,,,
2026-08-24T10:41:19.665Z,live,snapshot,,,,,88.511,88.557,88.5340000000,0.33,1.64,1787568076919,1787568077977,89.1319,88.662,88.411,88.472,88.4415000000,0.44,0.44,1787568076919,1787568078231,88.973,88.628,,,,,
2026-08-24T10:41:20.757Z,live,snapshot,,,,,88.511,88.557,88.5340000000,0.33,1.64,1787568076919,1787568077977,89.1307,88.6583,88.411,88.472,88.4415000000,0.44,0.44,1787568076919,1787568078231,88.972,88.624,,,,,
2026-08-24T10:41:21.914Z,live,snapshot,,,,,88.511,88.557,88.5340000000,0.33,1.64,1787568076919,1787568077977,89.1307,88.6583,88.411,88.472,88.4415000000,0.44,0.44,1787568076919,1787568078231,88.971,88.619,,,,,
2026-08-24T10:41:23.654Z,live,snapshot,,,,,88.511,88.557,88.5340000000,0.33,1.64,1787568076919,1787568077977,89.1307,88.6583,88.411,88.472,88.4415000000,0.44,0.44,1787568076919,1787568078231,88.971,88.619,,,,,
2026-08-24T10:41:24.775Z,live,snapshot,,,,,88.521,88.557,88.5390000000,0.65,1.64,1787568082382,1787568084156,89.1307,88.6558,88.42,88.473,88.4465000000,0.44,0.44,1787568082382,1787568084520,88.971,88.619,,,,,
2026-08-24T10:41:25.781Z,live,snapshot,,,,,88.521,88.557,88.5390000000,0.65,1.64,1787568082382,1787568084156,89.1307,88.6558,88.42,88.473,88.4465000000,0.44,0.44,1787568082382,1787568084520,88.97,88.615,,,,,
2026-08-24T10:41:27.030Z,live,snapshot,,,,,88.521,88.557,88.5390000000,0.65,1.64,1787568082382,1787568084156,89.1293,88.6519,88.42,88.473,88.4465000000,0.44,0.44,1787568082382,1787568084520,88.97,88.615,,,,,
2026-08-24T10:41:29.466Z,live,snapshot,,,,,88.496,88.547,88.5215000000,0.65,0.65,1787568087757,1787568088351,89.1293,88.6519,88.42,88.473,88.4465000000,0.44,0.44,1787568082382,1787568084520,88.969,88.61,,,,,
2026-08-24T10:41:30.659Z,live,snapshot,,,,,88.496,88.547,88.5215000000,0.65,0.65,1787568087757,1787568088351,89.1293,88.6493,88.39,88.439,88.4145000000,0.39,3.88,1787568087757,1787568089752,88.969,88.61,,,,,
2026-08-24T10:41:31.679Z,live,snapshot,,,,,88.496,88.547,88.5215000000,0.65,0.65,1787568087757,1787568088351,89.1293,88.6493,88.39,88.439,88.4145000000,0.39,3.88,1787568087757,1787568089752,88.968,88.605,,,,,
2026-08-24T10:41:32.799Z,live,snapshot,,,,,88.496,88.547,88.5215000000,0.65,0.65,1787568087757,1787568088351,89.128,88.6455,88.39,88.439,88.4145000000,0.39,3.88,1787568087757,1787568089752,88.968,88.605,,,,,
2026-08-24T10:41:33.926Z,live,snapshot,,,,,88.51,88.546,88.5280000000,0.64,0.64,1787568093092,1787568093679,89.128,88.6455,88.39,88.439,88.4145000000,0.39,3.88,1787568087757,1787568089752,88.968,88.605,,,,,
2026-08-24T10:41:35.678Z,live,snapshot,,,,,88.51,88.546,88.5280000000,0.64,0.64,1787568093092,1787568093679,89.128,88.6455,88.39,88.438,88.4140000000,0.43,8.26,1787568093092,1787568093926,88.967,88.601,,,,,
2026-08-24T10:41:37.041Z,live,snapshot,,,,,88.51,88.546,88.5280000000,0.64,0.64,1787568093092,1787568093679,89.128,88.6433,88.39,88.438,88.4140000000,0.43,8.26,1787568093092,1787568093926,88.967,88.601,,,,,
2026-08-24T10:41:38.105Z,live,snapshot,,,,,88.51,88.546,88.5280000000,0.64,0.64,1787568093092,1787568093679,89.128,88.6433,88.39,88.438,88.4140000000,0.43,8.26,1787568093092,1787568093926,88.967,88.596,,,,,
2026-08-24T10:41:39.457Z,live,snapshot,,,,,88.51,88.546,88.5280000000,0.64,0.64,1787568093092,1787568093679,89.1267,88.6394,88.39,88.438,88.4140000000,0.43,8.26,1787568093092,1787568093926,88.967,88.596,,,,,
2026-08-24T10:41:40.465Z,live,snapshot,,,,,88.492,88.521,88.5065000000,0.48,0.65,1787568098468,1787568099457,89.1267,88.6394,88.384,88.445,88.4145000000,1.67,0.44,1787568098468,1787568099712,88.966,88.592,,,,,
2026-08-24T10:41:41.956Z,live,snapshot,,,,,88.492,88.521,88.5065000000,0.48,0.65,1787568098468,1787568099457,89.1267,88.6394,88.384,88.445,88.4145000000,1.67,0.44,1787568098468,1787568099712,88.966,88.592,,,,,
2026-08-24T10:41:42.961Z,live,snapshot,,,,,88.492,88.521,88.5065000000,0.48,0.65,1787568098468,1787568099457,89.1255,88.6357,88.384,88.445,88.4145000000,1.67,0.44,1787568098468,1787568099712,88.966,88.592,,,,,
2026-08-24T10:41:44.072Z,live,snapshot,,,,,88.492,88.521,88.5065000000,0.48,0.65,1787568098468,1787568099457,89.1255,88.6357,88.384,88.445,88.4145000000,1.67,0.44,1787568098468,1787568099712,88.965,88.587,,,,,
2026-08-24T10:41:45.158Z,live,snapshot,,,,,88.5,88.521,88.5105000000,0.66,2.25,1787568103855,1787568104606,89.1255,88.633,88.388,88.452,88.4200000000,0.44,141.31,1787568103855,1787568104895,88.965,88.587,,,,,
2026-08-24T10:41:46.346Z,live,snapshot,,,,,88.5,88.521,88.5105000000,0.66,2.25,1787568103855,1787568104606,89.1255,88.633,88.388,88.452,88.4200000000,0.44,141.31,1787568103855,1787568104895,88.964,88.583,,,,,
